"Month_Day","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","Mean","Median","Maximum","Minimum"
"01-01",35.07782,36.38257,35.72252,40.2170000000067,34.1998,35.17913,38.86006,36.44704,38.55613,38.88462,37.0549,36.9619627272733,36.44704,40.2170000000067,34.1998
"01-02",33.26652,36.27205,36.40099,35.9190000000022,31.78064,32.65866,39.16706,35.27737,42.43354,35.84532,39.46485,36.2260000000002,35.9190000000022,42.43354,31.78064
"01-03",34.19673,37.07946,35.22211,35.305,35.56288,33.38932,38.44868,35.42473,41.04897,37.42023,37.46321,36.4146654545455,35.56288,41.04897,33.38932
"01-04",34.74012,36.51151,35.94049,39.2959999999978,35.29579,38.28904,36.64966,35.89444,34.9366,36.3702900001009,36.19223,36.3741972727362,36.19223,39.2959999999978,34.74012
"01-05",33.96955,35.59051,35.82997,42.3659999999978,35.53525,38.39342,35.23439,37.05797,38.92453,38.6789299998991,35.3971,36.9979654545361,35.82997,42.3659999999978,33.96955
"01-06",31.54425,35.25281,36.06329,39.6030000000045,33.96648,37.3005,36.12469,36.21986,40.524,38.42412,37.40795,36.5846318181822,36.21986,40.524,31.54425
"01-07",31.48285,35.08396,31.80827,37.4539999999911,35.94356,32.19202,35.69489,35.10852,41.24238,39.5723,37.16235,35.7040999999992,35.69489,41.24238,31.48285
"01-08",33.94806,34.97037,33.49063,37.7610000000089,34.9366,35.07475,34.37786,35.90672,39.67361,41.48184,38.27676,36.3543818181826,35.07475,41.48184,33.49063
"01-09",35.19141,36.87991,37.06104,35.6119999999955,35.02563,35.46157,35.67647,38.49166,36.29047,37.49698,36.5391400000001,36.3387527272723,36.29047,38.49166,35.02563
"01-10",35.77471,38.39649,36.18302,35.9190000000022,35.29886,35.71638,36.33652,39.26223,38.10177,34.7831,36.68036,36.5865854545457,36.18302,39.26223,34.7831
"01-11",35.73787,33.71167,35.08396,32.8490000000022,34.55899,35.72252,38.5592,35.75322,40.34287,35.17299,36.0418,35.7758263636366,35.72252,40.34287,32.8490000000022
"01-12",32.7569,35.75015,34.51601,31.3139999999911,35.67954,39.28372,38.85699,35.74401,37.37111,34.70942,35.95891,35.6309781818174,35.74401,39.28372,31.3139999999911
"01-13",36.0049600000011,34.1384,33.65641,36.84,35.81462,38.48859,35.84532,35.13615,36.37336,34.25199,36.84,35.7627090909092,35.84532,38.48859,33.65641
